channel_name	channel_code	alias_name
电视指南	dszn	电视指南/中数传媒电视指南/cctv电视指南/中央电视台电视指南/中央电视指南频道/中央电视指南/cctv电视指南频道/广电电视指南/数字指南/中数电视指南/央视指南
内蒙古卫视	nmg_ws	内蒙卫视/内蒙古卫视/内蒙卫视频道/内蒙卫星电视/内蒙卫星频道/内蒙卫星/内蒙古电视台/内蒙古电视/内蒙古汉语卫视/内蒙台/内蒙/内蒙古台/内蒙古/内蒙电视台/波浪台/内蒙古tv/内蒙tv/内蒙电视
云南卫视	yn_ws	云南卫视/云南卫视频道/云南卫星电视/云南卫星频道/云南卫星/孔雀台/孔雀/yntv1/云南电视台卫星频道/云南电视台卫星/云南电视台/云南电视/云南台/云南/云南tv
深圳卫视高清	sz_ws	深圳卫视高清/深圳高清
广东卫视高清	gd_ws_hd	广东卫视高清/广东高清
北京卫视高清	bj_ws_hd	北京卫视高清/北京高清
北京体育高清	bj_ty_hd	北京体育高清/btv体育高清
CCTV1	cctv1	cctv1综合/中央电视台综合频道/中央电视台综合/cctv1/中央电视台一套/中央电视台一/央视一套/央视一/cctv一套/cctv一/中央综合频道/中央综合/央视综合频道/央视综合/中央一套/中央一/中央1套/中央1/央视1台/央视1/中央一台/中央1台/cctv1电视台/cctv1电视/cctv1频道/cctv1台/cctv1套/cctv一台/cctv综合频道/cctv综合/央视1频道/央视1套/央视一台/中央1频道/中央电视台1/中央电视台1频道/中央电视台1套/中央台一套/中央台一/中央台综合频/中央电视台/中央电视/中央卫视1频道/中央卫视一套/中央卫视综合/中央卫视1套/中央卫视1台/中央卫视一台/央视台/中央台/cctv电视台/cctvtv/cctv电视/中央tv/央视电视台/央视tv/央视电视/中央电视一台
CCTV2	cctv2	cctv2财经/中央电视台财经频道/中央电视台财经/cctv2/央视二套/央视二/中央电视台二套/中央电视台二/央视2套/央视2/中央经济频道/中央经济/央视经济频道/央视经济/中央二套/中央二/中央2套/中央2/中央二台/中央2台/cctv经济频道/cctv经济/cctv2频道/cctv财经频道/cctv财经/cctv2套/央视2频道/央视2台/央视二台/央视财经频道/央视财经/中央财经频道/中央财经/中央电视台2/中央电视台2频道/中央电视台2套/中央台2套/中央台2/中央电视台2财经/中央卫视2频道/中央卫视二套/中央卫视财经/中央卫视2套/中央卫视2台/中央卫视二台/cctv二
CCTV3	cctv3	cctv3综艺/中央电视台综艺频道/中央电视台综艺/cctv3/中央三套/中央三/中央电视台三套/中央电视台三/央视三套/央视三/中央3套/中央3/央视3套/央视3/中央电视台3套/中央电视台3/中央台综艺频道/中央台综艺/央视综艺频道/央视综艺/中央3台/中央三台/cctv综艺频道/cctv综艺/cctv3套/cctv3台/央视3频道/央视3台/央视三台/中央3频道/中央电视台3频道/中央电视台3综艺/中央卫视3频道/中央卫视三套/中央卫视综艺/中央卫视3套/中央卫视3台/中央卫视三台/cctv三
CCTV4	cctv4	cctv4国际/中央电视台中文国际频道/中央电视台中文国际/cctv4/央视国际/中央4套/中央4/央视4套/央视4/中央电视台4套/中央电视台4/中央四套/中央四/央视四套/央视四/央视国际频道/中央国际频道/中央国际/中央4台/中央四台/cctv4亚洲/cctv4亚洲台/cctv4亚洲频道/cctv国际频道/cctv国际/央视4频道/央视4台/央视四台/中央4频道/中央电视台4频道/中央电视台cctv4/cctv亚洲台/cctv亚洲/cctv4中文国际/中央卫视4频道/中央卫视四套/中央卫视国际/中央卫视4套/中央卫视4台/中央卫视四台/cctv中文国际/cctv中文国际频道/央视中文国际频道/cctv四/中央电视台四/国际新闻频道
CCTV5	cctv5	cctv5体育/中央电视台体育频道/中央电视台体育/cctv5/央视体育/中央5套/中央5/中央五套/中央五/中央电视台五套/中央电视台五/cctv体育频道/cctv体育/中央体育频道/中央体育/央视体育频道/央视五套/央视五/中央5台/中央五台/cctv奥运/cctv5电视台/cctv5电视/cctv5频道/cctv5台/cctv5套/cctv5体育频道/央视5/央视5频道/央视5台/央视5套/央视五台/中央5频道/中央5套体育频道/中央5套体育/中央5台体育频道/中央5台体育/中央卫视5频道/中央卫视五套/中央卫视体育/中央卫视5套/中央卫视5台/中央卫视五台/cctv五/中央电视台5
CCTV6	cctv6	cctv电影/中数传媒家庭影院/cctv电影台/cctv电影频道/电影付费频道/电影付费/cctv6电影/中央电视台电影频道/中央电视台电影/cctv6/央视电影/央视6套/央视6/中央6套/中央6/中央六套/中央六/央视六套/央视六/中央六台/中央6台/电影频道/电影/cctv6本周/cctv6电视剧/cctv6频道/cctv6直播/cctv影视/央视6频道/央视6台/中央电影频道/中央电影/中央卫视6频道/中央卫视六套/中央卫视电影/中央卫视6套/中央卫视6台/中央卫视六台/央视六台/央视电影频道/cctv六
CCTV7	cctv7	cctv7军事/中央电视台军事农业频道/中央电视台军事农业/cctv7/cctv7农业频道/cctv7农业/中央七套/中央七/央视七套/央视七/中央农业频道/中央农业/央视农业频道/央视农业/中央七台/中央7套/中央7/cctv军事频道/cctv军事/央视7频道/央视7/央视7台/央视7套/央视军事频道/央视军事/央视七台/中央7频道/中央7台/中央电视台7/中央电视台7频道/中央电视台7套/cctv军事农业频道/cctv军事农业/cctv7军事农业/中央卫视7频道/中央卫视七套/中央卫视农业/中央卫视军事/中央卫视7套/中央卫视7台/中央卫视七台/cctv农业军事/cctv农业军事频道/央视农业军事频道/cctv农业/cctv农业频道/耕战台/cctv七/中央电视台七
CCTV8	cctv8	cctv8电视剧/中央电视台电视剧频道/中央电视台电视剧/cctv8/中央电视剧频道/中央电视剧/中央八套/中央八/央视八套/央视八/央视电视剧频道/央视电视剧/中央8套/中央8/中央8台/中央八台/cctv电视剧频道/cctv电视剧/央视8频道/央视8/央视8台/央视8套/央视八台/中央8频道/中央电视台8/中央电视台8频道/中央电视台8套/中央台电视剧/电视剧频道/电视剧/中央卫视8频道/中央卫视八套/中央卫视电视剧/中央卫视8套/中央卫视8台/中央卫视八台/cctv八/中央电视台八
CCTV9	cctv9	cctv9纪录/中央电视台纪录频道/中央电视台纪录/cctv9/中央九套/中央九/央视九套/央视九/中央电视台九套/中央电视台九/中央9套/中央9/中央九台/央视9套/央视9/cctv纪录频道/cctv纪录/央视9频道/央视9台/中央9纪录频道/中央9纪录/中央9台/中央9台纪录频道/中央9台纪录/中央9套纪录频道/中央9套纪录/中央电视台9频道/中央电视台9/纪录频道/纪录/cctv纪录片频道/cctv纪录片/央视九台/cctv9记录频道/cctv9记录/中央卫视9频道/中央卫视九套/中央卫视记录/中央卫视9套/中央卫视9台/中央卫视九台/cctv记录/cctv记录频道/央视记录频道/cctv九
CCTV10	cctv10	cctv10科教/中央电视台科教频道/中央电视台科教/cctv10/中央科教频道/中央科教/央视科教频道/央视科教/cctv科教频道/cctv科教/中央10套/中央10/中央十套/中央十/中央10台/中央十台/央视十台/央视十/央视10套/央视10/央视10台/cctv10频道/cctv10套/央视10频道/央视十套/中央10频道/中央电视台10/中央电视台10频道/中央电视台10套/中央台10套/中央台10/中央台科教频道/中央台科教/中央台十套/中央台十/ctv10科教/中央卫视10频道/中央卫视十套/中央卫视科技/中央卫视10套/中央卫视10台/中央卫视十台/中央教育台/cctv十/中央电视台十
CCTV11	cctv11	cctv戏曲/中数传媒央视戏曲/戏曲频道/戏曲/cctv11戏曲/中央电视台戏曲频道/中央电视台戏曲/cctv11/央视11套/央视11/中央11套/中央11/央视戏曲/中央戏曲频道/中央戏曲/央视戏曲频道/中央十一套/中央十一/中央十一台/中央11台/cctv11频道/cctv11套/cctv戏曲频道/央视11频道/央视11台/中央11频道/中央电视台11/中央电视台11频道/中央电视台11套/中央台11套/中央台11/中央台戏曲频道/中央台戏曲/中央卫视11频道/中央卫视十一套/中央卫视戏曲/中央卫视11套/中央卫视11台/中央卫视十一台/央视十一套/央视十一台/cctv十一/中央电视台十一
CCTV12	cctv12	cctv12法制/中央电视台法制频道/中央电视台法制/cctv12/央视12套/央视12/中央12套/中央12/央视法制频道/央视法制/中央法制频道/中央法制/中央12台/中央十二台/中央十二/cctv12频道/cctv12套/cctv法制频道/cctv法制/央视12频道/央视12台/中央12频道/中央电视台12/中央电视台12频道/中央电视台12套/中央十二套/中央台12套/中央台12/中央台法制频道/中央台法制/cctv12社会与法/中央卫视12频道/中央卫视十二套/中央卫视法制/中央卫视12套/中央卫视12台/中央卫视十二台/央视十二套/央视十二台/cctv社会与法/cctv社会与法频道/央视社会与法频道/cctv十二/中央电视台十二/cctv社会与法制
CCTV13	cctv13	cctv13新闻/中央电视台新闻频道/中央电视台新闻/cctv13/cctv新闻/央视新闻/cctv新闻台/中央新闻频道/中央新闻/央视新闻频道/中央13台/中央13/中央13套/cctv新闻频道/央视十三套/央视十三/央视新闻台/中央新闻台/中国中央电视台新闻频道/中国中央电视台新闻/中央電視台新聞/中央十三台/中央十三/cctvnews/中央卫视13频道/中央卫视十三套/中央卫视新闻/中央卫视13套/中央卫视13台/中央卫视十三台/中央十三套/央视十三台/cctv十三
CCTV14	cctv14	cctv14少儿/中央电视台少儿频道/中央电视台少儿/cctv14/央视少儿/中央少儿/cctv少儿频道/cctv少儿/中央少儿频道/央视少儿频道/中央14套/中央14/cctv14套/央视14套/央视14/cctv少儿台/少儿台/少儿/央视十四套/央视十四/中央电视台14套/中央电视台14/中央14台/中央卫视14频道/中央卫视十四套/中央卫视少儿合/中央卫视14套/中央卫视14台/中央卫视十四台/中央十四套/中央十四台/中央十四/央视十四台/cctv十四/中央电视台十四
CCTV15	cctv15	cctv15音乐/中央电视台音乐频道/中央电视台音乐/cctv15/cctv音乐/cctv音乐台/中央音乐频道/中央音乐/中央电视台15套/中央电视台15/央视十五套/央视十五/cctv音乐频道/央视音乐频道/央视音乐/中央15台/中央15/cctv15套/中央15套/中国音乐频道/中国音乐/cctv15（音乐）/音乐/中央卫视15频道/中央卫视十五套/中央卫视音乐/中央卫视15套/中央卫视15台/中央卫视十五台/中央十五套/中央十五台/中央十五/央视十五台/cctv十五/中央电视台十五
北京卫视	bj_ws	北京卫视/btv1/btv1台/btv1套/北京1台/北京1/北京电视台一套/北京电视台一/北京卫视频道/北京卫视台/北京卫星电视/北京一台/北京一/北京一套/btv北京/btv北京卫视/btv卫视/北京电视台/北京电视/北京台/北京tv
CETV1	cetv1	教育1台/教育1/中国教育电视台一套/中国教育电视台一/cetv1/教育台1频道/教育台1/教育台一频道/教育台一/中国教育1台/中国教育1/中国教育电视1台/中国教育电视1/中国教育电视台1套/中国教育电视台1/中国教育台1/中国教育台1套/中央教育1台/中央教育1/中央教育一台/中央教育一/cetv中国教育1/中国教育/中国教育一/中国教育一台/中教一台/中教一/中央教育一套/中央教育/中教一套/中国教育台/中央
CETV2	cetv2	教育2台/教育2/中国教育电视台二套/中国教育电视台二/cetv2/教育台2频道/教育台2/教育台二频道/教育台二/中国教育2台/中国教育2/中国教育电视2台/中国教育电视2/中国教育电视台2套/中国教育电视台2/中国教育台2/中国教育台2套/中央教育2台/中央教育2/中国教育二台/中国教育二/中央教育二套/中央教育二/中教二套/中教二/中教2台/中教2/中国教育二套/教育二台/教育二
CETV3	cetv3	教育3台/教育3/中国教育电视台三套/中国教育电视台三/教育台3频道/教育台3/教育台三频道/教育台三/中国教育3台/中国教育3/中国教育电视3台/中国教育电视3/中国教育电视台3套/中国教育电视台3/中国教育台3/中国教育台3套/中央教育3台/中央教育3/中国教育三/中央教育三套/中央教育三/中教3台/中教3/cetv3/教育三台/教育三
CETV4	cetv4	空中课堂/cetv4/教育台4频道/教育台4/教育台四频道/教育台四/中国教育4台/中国教育4/中国教育电视4台/中国教育电视4/中国教育电视台4套/中国教育电视台4/中国教育台4/中国教育台4套/中央教育4台/中央教育4/空中课堂文献纪录/cetv空中课堂/空中教室/教育四台/教育四
CETV5	cetv5	cetv5/教育5台/教育5/教育五台/教育五
CETV6	cetv6	cetv6/教育6台/教育6/教育六台/教育六
CETV7	cetv7	cetv7/教育7台/教育7/教育七台/教育七
CETV8	cetv8	cetv8/教育8台/教育8/教育八台/教育八
CETV9	cetv9	cetv9/教育9台/教育9/教育九台/教育九
CETV10	cetv10	cetv10/教育10台/教育10/教育十台/教育十
北京文艺	bj_wy	北京文艺频道/北京文艺/北京电视台文艺频道/北京电视台文艺/btv2/btv2套/btv文艺频道/btv文艺/btv文艺台/北京2台/北京2/北京2套/北京电视台二套/北京电视台二/北京二台/北京二/北京二套/北京台文艺频道/北京台文艺/北京文艺台
北京体育	bj_ty	北京体育频道/北京体育/北京电视台体育频道/北京电视台体育/btv6/btv6台/btv6套/btv6体育/btv体育/btv体育频道/北京6台/北京6/北京电视台六套/北京电视台六/北京六台/北京六/北京六套/北京台体育频道/北京台体育/北京体育台
北京新闻	bj_xw	北京新闻频道/北京新闻/北京电视台新闻频道/北京电视台新闻/btv9/btv9台/btv9套/btv公共频道/btv公共/北京电视台九套/北京电视台九/北京九台/北京九/北京九套/北京台公共频道/北京台公共/btv9公共新闻/btv新闻/北京公共频道/北京公共
安徽卫视高清	ah_ws_hd	安徽卫视高清/安徽高清
东南卫视高清	dn_ws_hd	东南卫视高清
CCTV1高清	cctv1_hd	cctv1高清/综合高清/中央综合高清/央视综合高清/综合频道hd/综合频道高清/中央一台高清/中央1高清/中央一高清
CCTV2高清	cctv2_hd	cctv2高清/财经高清/中央财经高清/央视财经高清/中央2高清/中央二高清
CCTV3高清	cctv3_hd	cctv3高清/综艺高清/中央综艺高清/央视综艺高清/中央3高清/中央三高清
CCTV4高清	cctv4_hd	cctv4高清/中文国际高清/中央四台高清/中央四高清/中央4高清
CCTV5高清	cctv5_hd	cctv5高清/体育高清/中央体育高清/央视体育高清/中央五高清/中央5高清
CCTV6高清	cctv6_hd	cctv6高清/电影高清/中央电影高清/央视电影高清/中央六高清/中央6高清
CCTV7高清	cctv7_hd	cctv7高清/军事高清/农业高清/中央军事高清/央视军事高清/中央农业高清/央视农业高清/中央7高清/中央七高清
CCTV8高清	cctv8_hd	cctv8高清/电视剧高清/中央电视剧高清/央视电视剧高清/中央8高清/中央八高清
CCTV9高清	cctv9_hd	cctv9高清/记录高清/中央记录高清/央视记录高清/中央9高清/中央九高清
CCTV10高清	cctv10_hd	cctv10高清/科教高清/中央科教高清/央视科教高清/中央10高清/中央十高清
CCTV11高清	cctv11_hd	cctv11高清/戏曲高清/中央戏曲高清/央视戏曲高清/中央11高清/中央十一高清
CCTV12高清	cctv12_hd	cctv12高清/社会与法高清/社会高清/法律高清/中央社会高清/中央法律高清/央视社会高清/央视法律高清/中央12高清/中央十二高清
CCTV13高清	cctv13_hd	cctv13高清/新闻高清/中央新闻高清/央视新闻高清/中央13高清/中央十三高清
CCTV14高清	cctv14_hd	cctv14高清/少儿高清/中央少儿高清/央视少儿高清/中央14高清/中央十四高清
CCTV15高清	cctv15_hd	cctv15高清/音乐高清/中央音乐高清/央视音乐高清/中央15高清/中央十五高清
湖南卫视高清	hunan_ws_h	湖南卫视高清/湖南高清
3D高清	3d_hd	3d高清
辽宁卫视高清	ln_ws_hd	辽宁卫视高清/辽宁高清
重庆卫视高清	cq_ws_hd	重庆卫视高清/重庆高清
黑龙江卫视高清	hlj_ws_hd	黑龙江卫视高清/黑龙江高清
山东卫视高清	sd_ws_hd	山东卫视高清/山东高清
天津卫视高清	tj_ws_hd	天津卫视高清/天津高清
湖北卫视高清	hubei_ws_h	湖北卫视高清/湖北高清
江苏卫视高清	js_ws_hd	江苏卫视高清/江苏高清
数据广播	sj_gb	数据广播
音像世界	yinxiangsh	音像世界
世界地理	shijiedili	世界地理/cctv世界地理/中数传媒世界地理/世界地理频道/中央电视台世界地理频道/中央电视台世界地理/中央世界地理频道/中央世界地理/世界地理台/中央世界地理台
新视觉高清	xinshijue_	新视觉高清
都市剧场高清	doushi_jc_	都市剧场高清/都市剧场hd
幸福彩高清	yingfucai_	幸福彩高清/幸福彩hd
生活时尚高清	shenghuosh	生活时尚高清/生活时尚hd
动漫秀场高清	dongmanxiu	动漫秀场高清/动漫秀场hd
求索科学	qiusuo_kx	求索科学/华数求索科学频道/华数求索科学
求索纪录	qiusuo_jl	求索纪录/华数求索纪录频道/华数求索纪录/求索记录/华数求索记录
求索动物	qiusuo_dw	求索动物/华数求索动物频道/华数求索动物
求索生活	qiusuo_sh	求索生活/华数求索生活频道/华数求索生活
北京纪实高清	beijingjis	北京纪实高清
凤凰卫视中文高清	fh_ws_zw_h	凤凰卫视中文高清
凤凰卫视资讯高清	hf_ws_zx_h	凤凰卫视资讯高清
茶频道	tee	茶频道/茶/中数传媒先锋纪录/湖南先锋纪录频道/湖南先锋纪录/vbs先锋纪录频道/vbs先锋纪录/先锋记录频道/先锋记录/先锋纪录频道/先锋纪录/湖南先锋纪录台
快乐垂钓	kuailechui	快乐垂钓/vbs快乐垂钓频道/vbs快乐垂钓/快乐垂钓频道/湖南电视台快乐垂钓频道/湖南电视台快乐垂钓/湖南快乐垂钓频道/湖南快乐垂钓
先锋乒羽	xianfengbi	先锋乒羽/乒羽先锋/湖南先锋乒羽频道/湖南先锋乒羽/van先锋乒羽频道/van先锋乒羽/先锋乒羽van/乒羽频道/乒羽/先锋兵羽/羽频道/羽
湖南卫视国际	hn_ws_gj	湖南国际频道/湖南国际/湖南电视台国际频道(亚洲）/湖南台国际频道/湖南台国际/湖南国际台/湖南卫视国际
湖南时尚	hn_ss	湖南时尚频道/湖南时尚/湖南电视台时尚频道/湖南电视台时尚/湖南时尚购物频道/湖南时尚购物
凤凰电影	ifeng_dy	凤凰卫视电影台/凤凰卫视电影/凤凰电影台/凤凰电影
凤凰中文	ifeng_zw	凤凰卫视/凤凰卫视中文台/凤凰卫视中文/凤凰卫视频道/凤凰卫星电视/凤凰卫星频道/凤凰卫星/凤凰中文台/凤凰中文/凤凰电视台/凤凰电视/风凰中文台/风凰中文/phoenix/凤凰tv
凤凰资讯	ifeng_zx	凤凰卫视资讯台/凤凰卫视资讯/凤凰资讯台/凤凰资讯/香港凤凰卫视资讯台/香港凤凰卫视资讯/资讯台/资讯/phoenix infonews channel/phoenix chinese news
星空卫视	star_ws	星空卫视/星空台/星空/星空卫星电视/星空卫星频道/星空卫星/xing kong/星空卫星台
中国金融	zhongguoji	cfc中国金融/新华社cfc中国金融频道/新华社cfc中国金融/新华财经/新华经视/中国金融台/中国金融/新华社cfc财经频道/新华社cfc财经/cfc财经频道/cfc财经
湖南体彩	hn_tc	湖南体彩
长沙新闻	cs_xw	长沙新闻频道/长沙新闻/长沙电视台新闻频道/长沙电视台新闻/长沙台新闻频道/长沙台新闻/湖南长沙新闻频道/湖南长沙新闻/湖南长沙电视台新闻频道/湖南长沙电视台新闻/长沙新闻频道台
政法频道	zhengfa	政法频道/政法
女性频道	nvxing	女性频道/女性
经贸频道	jingmao	经贸频道/经贸
长沙互动	cs_hd	长沙互动
环球购物	huangqiu_g	环球购物
记录频道	jilu	记录频道/记录
长沙新闻广播	cs_xwgb	长沙新闻广播
长沙经济之声	cs_jizs	长沙经济之声
长沙交通音乐	cs_jtyy	长沙交通音乐
长沙城市之音	cs_cszy	长沙城市之音
中国之声	zhongguo_z	中国之声
经济之声	jingji_zs	经济之声
音乐之声	yinyue_zs	音乐之声
华夏之声	huaxia_zs	华夏之声
神州之声	shenzhou_z	神州之声
中华之声	zhonghua_z	中华之声
湖南经视	hn_js	湖南经视/湖南经济电视台综合频道/湖南经济电视台综合/湖南etv综合频道/湖南etv综合/湖南经济台综合频道/湖南经济台综合/湖南经济综合频道/湖南经济综合/湖南经视综合频道/湖南经视综合/etv综合/湖南经济综合台/湖南经视综合台
湖南娱乐	hn_yl	湖南娱乐频道/湖南娱乐/湖南电视台娱乐频道/湖南电视台娱乐/湖南娱乐台
